R_inner,R_outer,Log10(T),Ntracers Selected,Mass Selected [msol],Mass Available in Spherical Shell [msol],Total Ntracers within R_vir,Gas mass within R_vir [msol],%Available Tracers Selected,%Available Mass of Spherical Shell Selected,,
25,75,4,3.11E+06,1.28E+11,3.75E+11,2.27E+07,1.32E+12,13.73578546,34.1265147,,
25,75,5,5.19E+05,2.18E+10,3.75E+11,2.27E+07,1.32E+12,2.289104878,5.814386901,,
25,75,6,9.57E+05,3.48E+10,3.75E+11,2.27E+07,1.32E+12,4.223968059,9.274712831,,49.21561443
75,125,4,4.98E+05,2.06E+10,2.36E+11,2.27E+07,1.32E+12,2.197143163,8.724416468,,
75,125,5,3.19E+05,1.36E+10,2.36E+11,2.27E+07,1.32E+12,1.408361513,5.751577532,,
75,125,6,1.79E+06,6.55E+10,2.36E+11,2.27E+07,1.32E+12,7.882485647,27.798474,,42.274468
125,175,4,2.31E+05,9.66E+09,2.72E+11,2.27E+07,1.32E+12,1.017205389,3.552165127,,
125,175,5,3.02E+05,1.28E+10,2.72E+11,2.27E+07,1.32E+12,1.33071986,4.712064114,,
125,175,6,1.84E+06,6.81E+10,2.72E+11,2.27E+07,1.32E+12,8.106275775,25.03349648,,33.29772572
,,,,,,,,,,,
TOTAL,,,9.56E+06,3.75E+11,8.83E+11,2.27E+07,1.32E+12,42.19104975,42.45552712,28.3870013,
